country,latitude,longitude,confirmed,deceased,recovered,serious
Dominican Republic,18.7356930,-70.1626510,2111,108,50,0
Colombia,4.5708680,-74.2973330,2054,55,123,0
Greece,39.0742080,21.8243120,1884,83,52,84
South Africa,-30.5594820,22.9375060,1845,18,45,4
Argentina,-38.4160970,-63.6166720,1795,65,266,0
Ukraine,48.3794330,31.1655799,1668,52,35,0
Singapore,1.3520830,103.8198360,1623,6,406,29
Iceland,64.9630510,-19.0208350,1616,6,633,11
Algeria,28.0338860,1.6596260,1572,205,113,0
Egypt,26.8205530,30.8024980,1560,103,305,0
Croatia,45.1000000,15.2000001,1343,19,179,36
Morocco,31.7917020,-7.0926200,1275,93,97,0
New Zealand,-40.9005570,174.8859710,1239,1,282,4
Iraq,33.2231910,43.6792910,1202,69,452,0
Estonia,58.5952720,25.0136071,1185,24,69,12
Moldova,47.4116310,28.3698850,1174,27,43,0
Slovenia,46.1512410,14.9954630,1091,40,92,35
Belarus,53.7098070,27.9533890,1066,13,54,16
Hong Kong,22.3193039,114.1693611,961,4,264,14
Lithuania,55.1694380,23.8812750,912,15,7,0
Hungary,47.1624940,19.5033041,895,58,94,23
Armenia,40.0690990,45.0381890,881,9,87,25
Kuwait,29.3116600,47.4817660,855,1,111,21
Bahrain,26.0667000,50.5577000,823,5,447,3
Azerbaijan,40.1431050,47.5769270,822,8,44,40
Bosnia,43.9158860,17.6790760,804,34,68,0
Cameroon,7.3697220,12.3547220,730,10,43,0
Kazakhstan,48.0195730,66.9236840,727,7,36,0
Diamond Princess,40.8642959,-73.9614914,712,11,620,88
Slovakia,48.6690260,19.6990240,682,2,13,0
Tunisia,33.8869170,9.5374990,628,24,5,0
North Macedonia,41.6086350,21.7452750,599,23,23,0
Bulgaria,42.7338830,25.4858300,593,24,42,21
Latvia,56.8796350,24.6031890,577,2,1,5
Lebanon,33.8547210,35.8622850,576,19,37,42
Andorra,42.5062850,1.5218010,564,23,39,0
Uzbekistan,41.3774910,64.5852620,545,3,30,9
Cyprus,35.1264130,33.4298590,526,13,33,6
Costa Rica,9.7489170,-83.7534280,502,3,24,0
Cuba,21.5217570,-77.7811670,457,12,27,16
Uruguay,-32.5227790,-55.7658350,456,7,192,14
Afghanistan,33.9391100,67.7099530,444,14,20,0
Oman,21.4735329,55.9754130,419,2,61,0
Burkina Faso,12.2383330,-1.5615930,414,23,127,0
Albania,41.1533320,20.1683310,400,22,131,11
Taiwan,23.6978100,120.9605150,379,5,61,0
Jordan,30.5851640,36.2384140,358,6,138,0
Honduras,15.1999990,-86.2419050,343,23,6,0
Niger,17.6077890,8.0816660,342,11,0,0
Ivory Coast,7.5399890,-5.5470800,323,3,41,0
Ghana,7.9465270,-1.0231940,313,6,3,0
San Marino,43.9423600,12.4577770,308,34,45,14
Malta,35.9374960,14.3754160,299,1,5,4
Nigeria,9.0819990,8.6752770,276,6,44,0
